Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Organic],Price [Organic],In stock [Organic],Low stock [Organic]
,MD-0001,สลัดโรลปูอัด,สลัดโรล,,,,,,,,,35.8,,,,,,55,,
,MD-0002,สลัดโรลไส้กรอก,สลัดโรล,,,,,,,,,26.8,,,,,,49,,
,MD-0003,สลัดโรลหมูย่าง,สลัดโรล,,,,,,,,,33.3,,,,,,55,,
,MD-0004,สลัดโรลหมูยอ,สลัดโรล,,,,,,,,,27.05,,,,,,49,,
,MD-0005,สลัดโรลรวม,สลัดโรล,,,,,,,,,30.7375,,,,,,55,,
,MD-0006,ก๋วยเตี๋ยวลุยสวนหมูรวน,ก๋วยเตี๋ยวลุยสวน,,,,,,,,,30.94690932,,,,,,49,,
,MD-0007,ก๋วยเตี๋ยวลุยสวนหมูรวน+ปูอัด,ก๋วยเตี๋ยวลุยสวน,,,,,,,,,33.76813381,,,,,,59,,
,MD-0008,เส้นหมี่ยำบก,เส้นหมี่ยำบก,,,,,,,,,31.61722618,,,,,,55,,
,MD-0009,หมี่คลุกไก่ฉีก,หมี่คลุก,,,,,,,,,21.5,,,,,,50,,
,MD-0010,หมี่คลุกหมูย่าง,หมี่คลุก,,,,,,,,,27.51176471,,,,,,59,,
,MD-0011,ไข่กระทะ,ไข่กระทะ,,,,,,,,,17,,,,,,30,,
,MD-0012,ข้าวกะเพราหมูสับ,ข้าวราด,,,,,,,,,26.55,,,,,,40,,
,MD-0013,ข้าวกะเพราไก่ รสจัดจ้าน,ข้าวราด,,,,,,,,,20.6,,,,,,40,,
,MD-0014,ข้าวหมูย่างน้ำจิ้มแจ่ว,ข้าวราด,,,,,,,,,27.22941176,,,,,,55,,
,MD-0015,ข้าวยำหมูสับไข่ต้ม,ข้าวราด,,,,,,,,,28.12425,,,,,,55,,
,MD-0016,ข้าวกะเพราหมูย่าง,ข้าวราด,,,,,,,,,31.42941176,,,,,,55,,
,MD-0017,ข้าวกะเพราลูกชิ้น,ข้าวราด,,,,,,,,,19.55,,,,,,40,,
,MD-0018,ข้าวกะเพราหมูสับไส้กรอก,ข้าวราด,,,,,,,,,23.05,,,,,,55,,
,MD-0019,ข้าวขยำครบรส สามสหาย,ข้าวราด,,,,,,,,,26.9304,,,,,,59,,
,MD-0020,ข้าวไข่ข้น,ข้าวราด,,,,,,,,,16.6,,,,,,35,,
,MD-0021,ข้าวไข่เจียว,ข้าวราด,,,,,,,,,16.1,,,,,,30,,
,MD-0022,ข้าวไข่เจียวหมูสับ,ข้าวราด,,,,,,,,,23.6,,,,,,45,,
,MD-0023,ข้าวไข่เจียวโบราณ,ข้าวราด,,,,,,,,,18.6,,,,,,40,,
,MD-0024,ข้าวหน้ากุนเชียง,ข้าวราด,,,,,,,,,23.6,,,,,,49,,
,MD-0025,ข้าวหน้าหมูชาบู,ข้าวราด,,,,,,,,,20.05,,,,,,49,,
,MD-0026,ข้าวเหนียวหมูหวาน,ข้าวเหนียวพร้อมกับ,,,,,,,,,24.5,,,,,,30,,
,MD-0027,ข้าวเหนียวหมูฝอย,ข้าวเหนียวพร้อมกับ,,,,,,,,,17,,,,,,30,,
,MD-0028,สลัดพร้อมทาน200g,สลัดพร้อมทาน,,,,,,,,,42.7,,,,,,79,,
,MD-0029,สลัดพร้อมทาน120g,สลัดพร้อมทาน,,,,,,,,,28.8,,,,,,59,,
,MD-0030,สลัดพร้อมทาน100g เสิร์ฟพร้อมยำทูน่า,สลัดพร้อมทาน,,,,,,,,,33.13333333,,,,,,79,,
,MD-0031,สลัดแร็ป,สลัดพร้อมทาน,,,,,,,,,23.335,,,,,,49,,
,MD-0032,สลัดเครปทูน่าอโวคาโด,สลัดพร้อมทาน,,,,,,,,,32.00523864,,,,,,69,,
,MD-0033,น้ำสลัดเทาซันด์ไอแลนด์,น้ำสลัด,,,,,,,,,5.901709143,,,,,,20,,
,MD-0034,น้ำสลัดงาคั่วญี่ปุ่น,น้ำสลัด,,,,,,,,,6.643810606,,,,,,20,,
,MD-0035,น้ำสลัดครีมซีฟู๊ด,น้ำสลัด,,,,,,,,,5.079271053,,,,,,20,,
,MD-0036,น้ำสลัดครีมน้ำข้น,น้ำสลัด,,,,,,,,,6.748792197,,,,,,20,,
,MD-0037,น้ำสลัดซีฟู๊ด,น้ำสลัด,,,,,,,,,6.361907692,,,,,,20,,
,MD-0038,น้ำผักเคล,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,12.11428571,,,,,,25,,
,MD-0039,น้ำผักรวม,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,12.11428571,,,,,,25,,
,MD-0040,น้ำมะตูม,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,11.73333333,,,,,,20,,
,MD-0041,น้ำอัญชันมะนาว,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,11.73333333,,,,,,20,,
,MD-0042,น้ำเก๊กฮวย,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,11.73333333,,,,,,20,,
,MD-0043,อโวคาโดนมสด,เครื่องดื่มเพื่อสุขภาพ,,,,,,,,,21.92,,,,,,40,,
,MD-0044,เค้กกล้วยหอมนึ่งนิ่ม,ขนม,,,,,,,,,17.875,,,,,,39,,
,MD-0045,ขนมกล้วย,ขนม,,,,,,,,,17.68483333,,,,,,39,,
,MD-0046,ขนมฟักทอง,ขนม,,,,,,,,,17.68483333,,,,,,39,,
,MD-0047,ขนมกล้วยฟักทอง,ขนม,,,,,,,,,17.68483333,,,,,,39,,
,MD-0048,แดงโซดา,เมนูโซดาลิง,,,,,,,,,8.450407864,,,,,,29,,
,MD-0049,น้ำส้มโซดา,เมนูโซดาลิง,,,,,,,,,20.30096667,,,,,,29,,
,MD-0050,น้ำส้มยูสุโซดา,เมนูโซดาลิง,,,,,,,,,27.39860667,,,,,,29,,
,MD-0051,มะนาวโซดา,เมนูโซดาลิง,,,,,,,,,11.5,,,,,,29,,
,MD-0052,น้ำเปล่า,น้ำ,,,,,,,,,5,,,,,,8,,
